Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bhutan,BTN,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,94.08284024,,
Botswana,BWA,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.78761062,46.50785057,45.42271136,44.49093445,43.66857738,42.94793449,42.31123389,41.74461605,41.2371134,40.54743442,39.87183724,39.20989494,38.56119768,37.92535186,37.88521261,37.84461529,37.80355201,37.7620147,37.71999511,37.67748479,38.23983531,36.70852957,35.12506652,36.31522897,40.23845007,35.75129534,39.01960784,36.92757067,36.95979995,,
Central African Republic,CAF,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06185567,1.739130435,1.503759399,1.324503311,1.183431953,1.069518717,0.9756097561,0.8968609865,0.8298755187,0.7722007722,0.7220216606,0.6779661017,0.6389776358,0.6042296073,0.5929439668,0.5820721769,0.5715918834,0.5614823133,0.5517241379,0.5517241379,0.5517241379,0.5517241379,0.5517241379,0.5517241379,0.5517241379,0.5517241379,0.5517241379,0.5517241379,0.5517241379,0.5517241379,0.5517241379,0.5517241379,0.5517241379,0.5517241379,,
Canada,CAN,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.850597654,9.015800563,9.185331507,9.359362822,9.53807612,9.721662916,9.425210406,9.123162696,8.827045534,8.524423031,8.102637627,7.683151199,7.265945004,6.851000498,6.438299342,6.02782339,5.619554695,5.619554695,5.619554695,11.70545189,10.99589058,10.20020391,9.358869787,8.458601291,7.505688282,9.099183622,10.64463631,10.64786712,10.65109989,10.65109989,,
Central Europe and the Baltics,CEB,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.96655775,11.97657486,11.87045538,12.44875037,13.198216,13.8850163,14.37962227,,
Switzerland,CHE,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.972853535,2.342451112,2.714455917,3.142888417,3.589527027,4.055557436,4.542270573,5.051074556,5.583508289,6.141257018,6.72617014,7.340281696,7.985833998,9.309222003,9.396642799,9.223412836,9.228729537,9.234052371,9.05645435,9.05645435,9.05645435,,
Channel Islands,CHI,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.03697432,83.75824558,84.49458339,85.24398265,86.00679401,86.78338078,87.5741195,88.37940057,89.19962889,90.03522452,90.88662342,90.88662342,90.88662342,90.88662342,90.88662342,,
China,CHN,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,88.16787958,87.86021555,87.56375356,87.27789275,87.00207447,86.30940007,85.62683563,84.95485392,84.29321073,83.64166929,83,81.13884136,79.33867244,77.59654365,76.29393938,75.00838555,73.73954956,72.48710743,71.25074346,70.03015002,68.82502728,67.97586922,67.12937781,66.2855405,65.44434483,64.60577843,64.25815503,63.01417819,63.28151986,63.51074719,62.50423585,62.44162775,64.31294547,64.52674355,64.5694259,64.40394583,62.38204033,62.32253367,61.39306791,61.1555836,62.14454059,,
Cote d'Ivoire,CIV,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.99576869,66.99576869,66.99576869,66.99576869,66.43557738,65.90709501,65.40770341,64.93506494,60.77581651,56.80644495,53.01423811,49.38759384,45.9159014,42.58943782,41.69172095,40.82841852,39.99758881,39.19743347,38.42628453,39.52388681,40.71509993,41.96489414,43.32613217,44.77470119,46.31928388,47.94968128,49.72660716,51.63511188,51.63511188,51.63511188,51.63511188,51.63511188,51.63511188,51.63511188,,
