Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Congo, Dem. Rep.",COD,38391.29991,37013.3218,37139.57729,38619.68268,40133.49667,40177.11162,35675.56226,35668.0242,36667.25164,34781.17168,34138.39892,36249.50767,41653.01552,45141.52578,47079.724,47184.36953,48147.92576,45682.22608,47709.05121,47750.99613,49865.04896,49285.5429,47471.27573,50963.47157,52890.71341,52645.93945,52491.41857,55524.36469,53561.37402,55443.09684,56120.40776,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Congo, Rep.",COG,10143.19831,10133.99793,10438.83765,9918.44977,8870.038691,9742.355905,9871.657696,10668.81289,12190.94378,12707.87787,13091.71866,12697.42119,10449.28242,11707.28075,12458.53118,14503.60351,15997.87356,13701.53401,14231.43116,15415.03131,17324.56927,17105.56757,16310.85407,15818.85907,15290.14487,15852.59287,15480.20014,16159.3014,18752.36987,20022.05923,19421.77959,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Costa Rica,CRI,8492.885741,8785.251577,9928.016514,10013.63475,10424.69289,10017.77822,10003.802,10041.16087,10740.24144,10562.36082,10415.03619,10725.3465,10757.81741,11114.12492,11138.83123,11680.17054,12014.05874,13378.75534,13563.61134,13119.85323,13252.16003,13939.11362,13894.03481,14390.80079,14438.24508,14296.03177,15103.53237,15440.86498,15749.85459,15718.67899,14405.0866,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cote d'Ivoire,CIV,9027.642098,11738.05486,14378.44313,17061.15429,19891.33025,20599.84584,21541.65113,23055.35573,23398.96083,25596.05072,25736.87342,25489.72137,25936.48762,23261.66458,21658.53183,23007.43478,22053.35006,21355.50774,21009.33512,19575.1965,19242.19108,18871.07118,20450.24138,21931.4159,21811.47133,22619.38655,24077.52629,24648.21623,24551.12647,25646.69991,26412.28115,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Croatia,HRV,28569.6077,22236.49624,23227.64395,24072.17318,24152.54296,25465.27189,24633.3283,26228.26819,26587.37209,26172.20775,25205.81114,26023.97075,27072.91978,28179.01991,27903.78114,27840.69631,28570.62506,30077.64122,29259.79858,26711.16807,26151.57551,25868.53541,23888.27888,22803.44883,21998.12626,22609.48542,22671.43852,23319.27005,22213.71599,22302.06393,21379.32606,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cuba,CUB,54701.05486,45530.24589,39335.60912,35878.73326,37308.46649,38437.88738,41109.00011,43353.49705,42829.2737,43230.75964,43543.71858,42650.26585,41410.06282,40550.91698,39931.17225,39999.50581,40987.06197,41946.68372,41280.20267,42074.93203,43297.94278,43186.12106,44295.12604,44642.78112,42540.0504,44506.83057,42569.13595,41247.87473,41721.43901,39353.62809,38558.67367,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Cyprus,CYP,5440.329468,5966.657666,6393.552543,6666.216748,6921.689595,6807.137506,7198.365501,7280.18963,7610.009144,7887.730278,8154.548029,8071.954241,8299.418632,8972.064599,8914.801221,9024.704645,9162.994106,9493.572217,9709.288942,9538.052941,9208.664533,8960.971704,8444.283423,7739.793469,8137.045114,8213.804434,8598.436545,8737.878187,8560.320828,8541.86797,8109.206812,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Czechia,CZE,184942.4971,168143.686,163573.073,156201.6868,149401.0053,148176.9625,152196.9607,149188.3695,142218.8098,133706.8752,145672.3692,145448.2968,139899.2704,143170.1463,143452.0205,141940.199,142995.4726,144802.4928,139368.3281,133423.4256,134691.9645,132059.1096,128574.252,123329.6396,120621.652,122514.148,124271.9489,124327.6965,123073.8691,117767.1074,108308.4176,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Denmark,DNK,69121.51836,79993.98111,73846.73594,76496.73383,80204.66717,77101.30863,90637.42391,80973.57736,76976.1173,74221.11192,70523.49979,72212.32806,71563.80008,77081.84035,70907.8511,67219.02344,74875.1201,69974.65083,66418.09065,63485.69286,63737.42493,58248.63644,53122.4767,54525.65812,50328.46514,48303.77416,49939.3101,47663.42765,47108.3564,43569.79676,41135.55451,..,..
